a_km,e_osc,i_deg,raan_deg,u_deg,r_km,v_kms,period_min,hx,hy,hz,norad,object_id,rcs_m2,d_eq_cm,perigee_cat_km,apogee_cat_km,gp_epoch,age_days,mean_motion,mean_e,mean_i,mean_raan,mean_argp,mean_M
7203.810391352712,0.003387768867955789,99.0690581842095,174.26748252884397,13.83109776513534,7215.003843060236,7.426991613875752,101.41522072620197,0.09863581619816716,0.9825606325915623,-0.15762480466027617,31031,1999-025BDZ,0.0089,10.645107772184812,800.0,841.0,2026-08-31T00:55:12.170784,1.96166469,14.21411503,0.00280224,99.0741,172.255,159.0573,262.6912
7224.783560025221,0.0032597131499421082,98.70964837046179,240.68704106705124,330.20194194144176,7247.760920629061,7.404150758951693,101.85843323453008,-0.8619034871281203,0.48393404390776,-0.15142727635227538,31047,1999-025BER,0.0109,11.780624362746346,826.0,864.0,2026-09-01T11:16:27.295104,0.53023964,14.14216655,0.00260871,98.7124,240.1653,147.7655,4.5306
7235.612561085694,0.0022719721839455096,98.67905986497371,254.92737022825875,175.4278158554618,7230.815017654142,7.427098660827437,102.08752763401516,-0.9545400122404258,0.2570655432881001,-0.1508995410398636,31054,1999-025BEY,0.0072,9.574614729634384,844.0,859.0,2026-09-01T11:59:44.536992,0.50017897,14.12309889,0.00109802,98.6844,254.4419,94.6048,58.9381
7085.95230183269,0.0028942811213210915,98.87602463793063,26.250371564766198,270.9696176156577,7103.4949677241875,7.481601842852039,98.93661946939241,0.4369978164124969,-0.8861294239479678,-0.15429696194142206,31097,1999-025BGT,0.0078,9.965574970333758,709.0,731.0,2026-09-01T03:09:23.192352,0.86848157,14.51799797,0.0015187,98.8703,25.3338,192.63,221.6756
7179.312481173148,0.005613677411011317,98.90940475126246,148.3348323449322,337.5949662323297,7188.93982110349,7.441235983365111,100.89833853144498,0.5186204541889471,0.8408610570144832,-0.15487255177511708,31099,1999-025BGV,0.0051,8.058239062071397,753.0,842.0,2026-08-31T23:10:20.178912,1.03448867,14.28236989,0.0062018,98.9134,147.275,240.1708,180.8565
7226.769473289566,0.0027878151075919158,98.68405549018206,250.7408589664497,38.900780966586716,7224.9649438766455,7.428570183206189,101.90043364434895,-0.9332139210367462,0.326059942747535,-0.15098573216928765,31150,1999-025BHC,0.0075,9.772050238058398,838.0,861.0,2026-09-01T12:38:10.654080,0.4734878,14.12872378,0.0015779,98.6852,250.287,131.3291,20.8673
7188.914328140225,0.006476104504542817,98.51509732005577,255.98178348587598,189.22318032572005,7150.021835182182,7.486637720841896,101.10082329565854,-0.9595239247133258,0.23956024325338765,-0.14807000964109374,31196,1999-025BKA,0.0106,11.617374563210367,763.0,847.0,2026-08-31T18:29:27.321504,1.22954489,14.2602505,0.00582419,98.5202,254.7879,165.2836,195.0056
7114.749160380115,0.0006597600586167292,98.8822033417063,357.42502082722183,22.823130582570432,7115.495118422839,7.484168504283547,99.5403399773219,-0.04438797039520558,-0.9870102657491044,-0.15440350834769467,31209,1999-025BKP,0.0106,11.617374563210367,719.0,748.0,2026-09-01T13:56:32.492832,0.41906836999999997,14.47705114,0.0020192,98.8862,356.9891,275.435,84.4537
7233.135808936013,0.0023656427248843655,98.72304265608257,243.95539705179337,337.6054043901274,7245.890008773329,7.410368162884329,102.03511523709305,-0.8880600925847755,0.4339919545215484,-0.15165835080497947,31210,1999-025BKQ,0.0099,11.227230955528666,839.0,864.0,2026-09-01T11:13:37.785216,0.5322015600000001,14.1229995,0.00177331,98.7269,243.4334,127.9451,25.5287
7205.155810223982,0.005536327528301199,98.64732037280521,280.58197624596414,193.0575620130069,7233.591597613368,7.40854987303521,101.44363325686622,-0.9718190343970992,-0.1815545917045441,-0.15035190259682774,31211,1999-025BKR,0.0106,11.617374563210367,785.0,858.0,2026-08-31T08:13:54.334272,1.65701002,14.21029286,0.00508008,98.6522,278.9617,54.7036,305.8877
7168.688554265675,0.014791508191501898,98.36974905648667,238.14987745049285,281.7829387265046,7257.698137668475,7.364722093395083,100.67445778038547,-0.8403843664065578,0.5220787308128689,-0.1455606936376443,31226,1999-025BLG,0.0074,9.706684619910243,710.0,893.0,2026-08-30T05:03:53.422272,2.78896502,14.27073089,0.01272824,98.3649,235.4796,148.8587,212.0218
7227.132898758333,0.005089818775128444,98.7776492763149,238.2326844919847,250.60746257761085,7236.4789781263935,7.41693102743131,101.9081204147489,-0.8402356827157786,0.5203048519096513,-0.15260032296959608,31239,1999-025BLV,0.0106,11.617374563210367,823.0,895.0,2026-09-01T22:57:29.166048,0.04341243,14.10173262,0.00494608,98.7734,238.1938,172.7867,216.9591
7126.809530374941,0.006032348968444474,99.2709055594779,57.372850525064926,97.50253390449777,7091.575359246588,7.5156826548289795,99.79354678150702,0.8311959355433315,-0.5321270927894408,-0.1611026810940891,31241,1999-025BLX,0.0078,9.965574970333758,713.0,808.0,2026-09-01T10:12:12.735360,0.5748526,14.39458361,0.00665607,99.2652,56.7504,133.1612,227.5163
7212.076287700806,0.007544358506483019,99.00049115019637,331.9049160360451,313.0000158357219,7260.150592689609,7.384885498545268,101.58982168341532,-0.4651375545707831,-0.8713051500214015,-0.156442931684672,31259,1999-025BMR,0.0083,10.280023453913834,791.0,884.0,2026-09-01T22:49:08.391648,0.049208430000000004,14.16457818,0.00649219,99.0001,331.8495,168.9332,252.9294
7131.601581366685,0.0056347795196359405,99.03747116276047,218.0005092170187,35.77973558646639,7155.251598544598,7.451352804594153,99.89421513982047,-0.6080254606713494,0.7782228440391878,-0.15708037493891921,31261,1999-025BMT,0.0095,10.998079684646791,718.0,789.0,2026-09-01T03:50:34.164960,0.8398823500000001,14.41528667,0.00493678,99.0393,217.1179,176.3359,183.8199
7182.960834056681,0.012633036292056166,99.06404633017512,130.03210517268988,293.7596706584293,7261.59602431777,7.368219013973297,100.97525944298648,0.756122936098196,0.6351848159446079,-0.1575384242007576,31272,1999-025BNE,0.0086,10.464157913908984,737.0,891.0,2026-08-30T21:42:14.728032,2.09566287,14.23466282,0.0106854,99.0602,127.8706,84.7543,276.5816
7171.237091376842,0.0034623764769195634,99.38786240887121,326.2407074941748,213.919330870826,7195.965347881656,7.429751410581307,100.7281486455989,-0.5482623740960311,-0.8202446133856032,-0.16311696221572428,31287,1999-025BNV,0.006,8.740387444736633,773.0,812.0,2026-09-01T11:14:48.694560,0.5313808499999999,14.29752465,0.00267873,99.3901,325.6738,32.085,328.1954
7198.718185523551,0.007819128336330649,98.99581340201274,347.3688901026557,69.24132911681934,7227.75833984779,7.411213366365297,101.3077076442171,-0.2159833731102402,-0.9637956295067839,-0.15636229431530116,31325,1999-025BQD,0.0097,11.11324596323283,779.0,881.0,2026-09-01T13:30:51.610176,0.43690266,14.18613023,0.00706635,98.9916,346.9299,191.8049,168.1472
7225.3580953427245,0.005757008386048392,98.70401302280344,252.76659736901493,226.6598471109989,7258.607356753592,7.393339901961485,101.87058358413326,-0.9441061295922674,0.2928529164758658,-0.15133005444355185,31332,1999-025BQL,0.008,10.092530088080641,815.0,886.0,2026-09-01T23:04:00.540768,0.03888263,14.12583459,0.00493049,98.7037,252.7343,357.5293,31.8544
7188.529818100377,0.008305682452714652,98.7043179493818,86.91236810057327,131.22896093213407,7164.086199519809,7.471806454451167,101.09271210668012,0.9870475250909869,-0.05324289256335261,-0.1513353151225611,31338,1999-025BQS,0.0113,11.994835078277374,762.0,867.0,2026-08-31T08:35:11.682240,1.6422259000000001,14.23241318,0.00730162,98.7036,85.2832,72.8444,288.0712
